track_id	label	label_count_TF	label_count_DF	IDF	TF-IDF	TF-IDF-Sq-Sum	vect_len	label_wt
TRAAAAW128F429D538	Urban	1	356	0.8803960477258501	0.8803960477258501	3.288458916712372	1.8134108516032357	0.48549177200935595
TRAAAAW128F429D538	Western Hip-Hop/Rap	1	211	1.1075635904010328	1.1075635904010328	3.288458916712372	1.8134108516032357	0.6107626351865251
TRAAAAW128F429D538	anger	1	1072	0.4016512603419744	0.4016512603419744	3.288458916712372	1.8134108516032357	0.22148938834620666
TRAAAAW128F429D538	neutral	1	801	0.5282135296144879	0.5282135296144879	3.288458916712372	1.8134108516032357	0.2912817738724209
TRAAAAW128F429D538	slow	1	325	0.919962684719851	0.919962684719851	3.288458916712372	1.8134108516032357	0.5073106758496082
TRAAABD128F429CF47	60s Rock	1	67	1.605771242997899	1.605771242997899	3.390069409840261	1.8412141129809594	0.8721262951858032
TRAAABD128F429CF47	Rock	1	592	0.6595243389758054	0.6595243389758054	3.390069409840261	1.8412141129809594	0.3582007841054528
TRAAABD128F429CF47	happiness	1	1434	0.27529689436694404	0.27529689436694404	3.390069409840261	1.8412141129809594	0.1495192180127456
TRAAABD128F429CF47	medium	1	1924	0.14764097799693143	0.14764097799693143	3.390069409840261	1.8412141129809594	0.08018675120727702
TRAAABD128F429CF47	neutral	1	801	0.5282135296144879	0.5282135296144879	3.390069409840261	1.8412141129809594	0.2868832722335049
TRAAAEF128F4273421	Alternative & Punk	1	617	0.6415608816654839	0.6415608816654839	5.367913425334592	2.3168757897942203	0.27690775849596405
TRAAAEF128F4273421	New Wave Pop	1	23	2.070118209681133	2.070118209681133	5.367913425334592	2.3168757897942203	0.8934955506894032
TRAAAEF128F4273421	medium	1	1924	0.14764097799693143	0.14764097799693143	5.367913425334592	2.3168757897942203	0.0637241662445981
TRAAAEF128F4273421	neutral	1	801	0.5282135296144879	0.5282135296144879	5.367913425334592	2.3168757897942203	0.22798526012540474
TRAAAEF128F4273421	sadness	1	666	0.6083718165284244	0.6083718165284244	5.367913425334592	2.3168757897942203	0.2625828364249335
TRAAAFD128F92F423A	Alternative & Punk	1	617	0.6415608816654839	0.6415608816654839	5.4365178906590135	2.331634167415423	0.27515503531012464
TRAAAFD128F92F423A	Pop Punk	1	52	1.7158427020639262	1.7158427020639262	5.4365178906590135	2.331634167415423	0.7358970485348089
TRAAAFD128F92F423A	Punk	1	157	1.2359463932894919	1.2359463932894919	5.4365178906590135	2.331634167415423	0.5300773211174536
TRAAAFD128F92F423A	anger	1	1072	0.4016512603419744	0.4016512603419744	5.4365178906590135	2.331634167415423	0.1722616978062206
