track_id	label	label_count
TRAAAAW128F429D538	Urban	1
TRAAAAW128F429D538	Western Hip-Hop/Rap	1
TRAAAAW128F429D538	anger	1
TRAAAAW128F429D538	neutral	1
TRAAAAW128F429D538	slow	1
TRAAABD128F429CF47	Rock	1
TRAAABD128F429CF47	60s Rock	1
TRAAABD128F429CF47	happiness	1
TRAAABD128F429CF47	neutral	1
TRAAABD128F429CF47	medium	1
TRAAAEF128F4273421	Alternative & Punk	1
TRAAAEF128F4273421	New Wave Pop	1
TRAAAEF128F4273421	sadness	1
TRAAAEF128F4273421	neutral	1
TRAAAEF128F4273421	medium	1
TRAAAFD128F92F423A	Alternative & Punk	1
TRAAAFD128F92F423A	Punk	1
TRAAAFD128F92F423A	Pop Punk	1
TRAAAFD128F92F423A	sadness	1
TRAAAFD128F92F423A	anger	1
TRAAAFD128F92F423A	medium	1
TRAABLR128F423B7E3	Rock	1
TRAABLR128F423B7E3	neutral	1
TRAABLR128F423B7E3	medium	1
TRAABNV128F425CEE1	Other	1
TRAABNV128F425CEE1	sadness	1
TRAABNV128F425CEE1	slow	1
TRAABVM128F92CA9DC	Rock	1
TRAABVM128F92CA9DC	Hard Rock	1
TRAABVM128F92CA9DC	sadness	1
TRAABVM128F92CA9DC	medium	1
TRAACER128F4290F96	Alternative & Punk	1
TRAACER128F4290F96	Emo & Hardcore	1
TRAACER128F4290F96	sadness	1
TRAACER128F4290F96	medium	1
TRAACFV128F935E50B	Traditional	1
TRAACFV128F935E50B	Country	1
TRAACFV128F935E50B	happiness	1
TRAACFV128F935E50B	medium	1
TRAACHN128F1489601	Rock	1
TRAACHN128F1489601	Metal	1
TRAACHN128F1489601	anger	1
TRAACHN128F1489601	medium	1
TRAACNS128F14A2DF5	Jazz	1
TRAACNS128F14A2DF5	anger	1
TRAACNS128F14A2DF5	neutral	1
TRAACNS128F14A2DF5	medium	1
TRAACPE128F421C1B9	Urban	1
TRAACPE128F421C1B9	Classic R&B/Soul	1
TRAACPE128F421C1B9	sadness	1
TRAACPE128F421C1B9	medium	1
TRAACQT128F9331780	Rock	1
TRAACQT128F9331780	Metal	1
TRAACQT128F9331780	sadness	1
TRAACQT128F9331780	fast	1
TRAACTB12903CAAF15	Traditional	1
TRAACTB12903CAAF15	Classic Country	1
TRAACTB12903CAAF15	happiness	1
TRAACTB12903CAAF15	medium	1
TRAADMH128F9343E59	Traditional	1
TRAADMH128F9343E59	Electric Blues	1
TRAADMH128F9343E59	sadness	1
TRAADMH128F9343E59	medium	1
TRAADNA128F9331246	Traditional	1
TRAADNA128F9331246	Electric Blues	1
TRAADNA128F9331246	anger	1
TRAADNA128F9331246	neutral	1
TRAADNA128F9331246	medium	1
TRAADQX128F422B4CF	Alternative & Punk	1
TRAADQX128F422B4CF	Synth Pop	1
TRAADQX128F422B4CF	happiness	1
TRAADQX128F422B4CF	neutral	1
TRAADQX128F422B4CF	medium	1
TRAADRN128F932D607	Electronica	1
TRAADRN128F932D607	anger	1
TRAADRN128F932D607	medium	1
TRAADVH128EF34DE7A	Alternative & Punk	1
TRAADVH128EF34DE7A	Punk	1
TRAADVH128EF34DE7A	happiness	1
TRAADVH128EF34DE7A	fast	1
TRAADYB128F92D7E73	Jazz	1
TRAADYB128F92D7E73	neutral	1
TRAADYB128F92D7E73	medium	1
TRAAEAM128F934B199	Alternative & Punk	1
TRAAEAM128F934B199	Punk	1
TRAAEAM128F934B199	happiness	1
TRAAEAM128F934B199	anger	1
TRAAEAM128F934B199	fast	1
TRAAEEH128E0795DFE	Pop	1
TRAAEEH128E0795DFE	Western Pop	1
TRAAEEH128E0795DFE	neutral	1
TRAAEEH128E0795DFE	slow	1
TRAAELO128F9302DD1	Pop	1
TRAAELO128F9302DD1	happiness	1
TRAAELO128F9302DD1	neutral	1
TRAAELO128F9302DD1	medium	1
TRAAENC128F1451DE9	Rock	1
TRAAENC128F1451DE9	Adult Alternative Rock	1
TRAAENC128F1451DE9	sadness	1
TRAAENC128F1451DE9	anger	1
TRAAENC128F1451DE9	fast	1
TRAAEOU128F9309DE0	Other	1
TRAAEOU128F9309DE0	happiness	1
TRAAEOU128F9309DE0	medium	1
TRAAEWG128F930B3A4	Alternative & Punk	1
TRAAEWG128F930B3A4	happiness	1
TRAAEWG128F930B3A4	medium	1
TRAAFJW128F428A424	Alternative & Punk	1
TRAAFJW128F428A424	Punk	1
TRAAFJW128F428A424	happiness	1
TRAAFJW128F428A424	anger	1
TRAAFJW128F428A424	fast	1
